product_name,week_mean,week_lower,week_upper,month_mean,month_lower,month_upper,lead_mean,sigma_d,safety_stock,current_stock_est,reorder_qty
Craft Beer (Draft),229.2144243060051,17.911057571013565,464.32995048319015,962.2116530797149,68.76594076422623,1969.8496224105083,229.2144243060051,20.43399444194221,88.92616177212594,27515.0,0.0
House Wine (Glass),156.14714187858976,8.7671238846427,336.77018061358206,636.0378537399523,28.649478206543648,1410.1365911756338,156.14714187858976,15.69802824002397,68.31583529799029,19459.0,0.0
Pasta Carbonara,153.9353859645478,16.626461675110242,295.0986087664442,637.5689571798415,61.06026047810471,1242.5541977593978,153.9353859645478,12.268558172405841,53.391214911498366,19077.0,0.0
Grilled Chicken Breast,145.87605868723298,14.768545466094185,282.3308478790142,602.7117465780839,54.076396480137106,1187.5179859714315,145.87605868723298,11.859346123402986,51.61037578226583,16885.0,0.0
Caesar Salad Mix,148.1944523807549,27.786508989609395,268.6023957719005,630.6619791507787,114.6279360458692,1146.696022255688,148.1944523807549,10.464707652552766,45.54108538362024,13947.0,0.0
French Onion Soup,165.10565497420438,70.27496944279962,259.9363405056091,704.1714521685395,297.7542284625192,1110.58867587456,165.10565497420438,8.24177685149544,35.86717142691875,12633.0,0.0
Tiramisu Dessert,111.16730403296116,20.270886120190838,202.0637219457315,451.0128455614929,63.52530179157969,840.5689223305086,111.16730403296116,7.899847911457244,34.37913988600785,11211.0,0.0
Chocolate Lava Cake,93.69992176696879,12.380091175599675,175.06714548559376,381.37279869069624,40.77038251837581,730.0894717705178,93.69992176696879,7.071661426432804,30.774976952812313,8872.0,0.0
Ribeye Steak,112.71652069532314,31.67631358514239,193.75672780550386,477.0619598747249,129.74678654537877,824.3771332040709,112.71652069532314,7.043240268255718,30.65129166372272,8805.0,0.0
Fresh Salmon Fillet,100.36497049653086,14.448841329957403,186.2810996631043,410.5567528717818,45.20125946734511,778.7687350142394,100.36497049653086,7.467008812254741,32.49547881982012,5408.0,0.0
Ice Cream Sundae,60.240019977010114,0.0,169.04314134041084,245.35819224047276,0.0,711.6572837979045,60.240019977010114,9.456127433839514,41.15187171596026,6313.0,0.0
Lobster Tail,59.53659653764092,4.579660809162656,116.84869839843492,246.40215538260495,16.56937903357622,492.02544907172205,59.53659653764092,4.981020138997235,21.67677024329192,829.0,0.0
